Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,website
Lufthansa,6:40 am , 8:15 pm,14h 35m,$573,2 stops,"4h 00m, 4h 55m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Momondo
"Lufthansa, Discover Airlines",6:40 am , 12:25 pm,6h 45m,$816,1 stop,2h 05m,FRA,Frankfurt am Main,Momondo
Air France,6:20 am , 6:25 pm,13h 05m,$599,2 stops,"0h 50m, 5h 40m","CDG, MAD","Paris Charles de Gaulle, Madrid Barajas",Momondo
Multiple airlines,11:50 pm ," 1:15 pm
+1",15h 25m,$479,3 stops,"6h 20m, 1h 10m, 1h 20m","TLL, WAW, DUS","Tallinn Ulemiste, Warsaw Frederic Chopin, Duesseldorf Intl",Momondo
Lufthansa,6:40 am , 12:25 pm,6h 45m,$817,1 stop,2h 05m,FRA,Frankfurt am Main,Momondo
"airBaltic, Scandinavian Airlines",5:25 am , 1:15 pm,8h 50m,$729,2 stops,"0h 40m, 2h 40m","RIX, CPH","Riga Intl, Kastrup Copenhagen",Momondo
Brussels Airlines,6:40 am , 4:30 pm,10h 50m,$718,2 stops,"0h 45m, 4h 05m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Momondo
British Airways,8:00 am , 8:55 pm,13h 55m,$663,2 stops,"1h 40m, 5h 20m","LHR, MAD","London Heathrow, Madrid Barajas",Momondo
Air France,6:20 am , 8:20 pm,15h 00m,$599,2 stops,"0h 50m, 7h 35m","CDG, MAD","Paris Charles de Gaulle, Madrid Barajas",Momondo
Brussels Airlines,6:40 am , 5:10 pm,11h 30m,$718,2 stops,"4h 45m, 1h 05m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Momondo
Scandinavian Airlines,7:00 am , 8:40 pm,14h 40m,$684,2 stops,"6h 35m, 2h 20m","CPH, GOT","Kastrup Copenhagen, Gothenburg Landvetter",Momondo
Scandinavian Airlines,7:00 am , 8:40 pm,14h 40m,$684,2 stops,"0h 40m, 8h 20m","CPH, GOT","Kastrup Copenhagen, Gothenburg Landvetter",Momondo
Scandinavian Airlines,7:00 am , 7:25 pm,13h 25m,$740,2 stops,"4h 05m, 2h 55m","CPH, OSL","Kastrup Copenhagen, Oslo Gardermoen",Momondo
Scandinavian Airlines,7:00 am , 6:45 pm,12h 45m,$769,2 stops,"4h 05m, 2h 05m","CPH, ARN","Kastrup Copenhagen, Stockholm Arlanda",Momondo
