Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,Website
"Lufthansa, operated by Lufth Cityline",12:50,19:20,7h 30m,"$1,333.36",2 stops,"['1h 05m', '1h 05m']","['MUC', 'ZRH']","['Munich International Airport', 'Zurich Airport']",Booking
Lufthansa,06:40,13:35,7h 55m,"$1,282.83",2 stops,"['1h 10m', '1h 25m']","['FRA', 'STR']","['Frankfurt International Apt', 'Stuttgart Echterdingen Apt']",Booking
"Lufthansa, operated by Xfly For Scandinavian Airlines",17:30,15:15,22h 45m,$587.15,2 stops,"['1h 20m', '16h 00m']","['ARN', 'FRA']","['Stockholm Arlanda Apt', 'Frankfurt International Apt']",Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",06:10,17:30,36h 20m,$415.19,2 stops,"['1h 05m', '1h 05m']","['MUC', 'ZRH']","['Munich International Airport', 'Zurich Airport']",Booking
"SAS, operated by Regional Jet",17:30,11:10,18h 40m,$697.29,2 stops,"['1h 10m', '1h 25m']","['FRA', 'STR']","['Frankfurt International Apt', 'Stuttgart Echterdingen Apt']",Booking
"SAS, operated by Regional Jet",17:30,11:10,18h 40m,$697.29,2 stops,"['11h 40m', '18h 30m']",['MUC'],['Munich International Airport'],Booking
"SAS, operated by Regional Jet",17:30,11:10,18h 40m,$697.29,2 stops,['12h 30m'],"['ARN', 'CPH']","['Stockholm Arlanda Apt', 'Copenhagen Apt']",Booking
"SAS, operated by Regional Jet",17:30,11:10,18h 40m,$697.29,2 stops,"['3h 35m', '9h 50m']","['ARN', 'CPH']","['Stockholm Arlanda Apt', 'Copenhagen Apt']",Booking
Lufthansa,06:40,13:55,8h 15m,"$1,288.45",2 stops,['1h 40m'],"['FRA', 'DUS']","['Frankfurt International Apt', 'Dusseldorf International Airport']",Booking
Lufthansa,06:40,13:55,8h 15m,"$1,291.84",2 stops,"['1h 00m', '1h 30m']","['FRA', 'MUC']","['Frankfurt International Apt', 'Munich International Airport']",Booking
Lufthansa,06:40,13:35,7h 55m,"$1,351.30",2 stops,['1h 50m'],['FRA'],['Frankfurt International Apt'],Booking
Lufthansa,06:40,13:35,7h 55m,"$1,351.30",2 stops,['1h 40m'],"['FRA', 'DUS']","['Frankfurt International Apt', 'Dusseldorf International Airport']",Booking
Lufthansa,06:40,16:15,10h 35m,"$1,212.12",1 stop,['5h 50m'],['FRA'],['Frankfurt International Apt'],Booking
Lufthansa,06:40,14:10,8h 30m,"$1,300.60",2 stops,"['1h 10m', '2h 00m']","['FRA', 'STR']","['Frankfurt International Apt', 'Stuttgart Echterdingen Apt']",Booking
"Austrian Airlines, operated by Lufthansa",18:10,17:30,24h 20m,$591.27,2 stops,"['2h 05m', '15h 50m']",['FRA'],['Frankfurt International Apt'],Booking
