Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,website
Air France,6:20 am , 8:20 pm,15h 00m,$364,2 stops,"6h 25m, 2h 00m","CDG, MAD","Paris Charles de Gaulle, Madrid Barajas",Kayak
Lufthansa,6:10 am , 6:20 pm,13h 10m,$453,2 stops,"1h 15m, 6h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Kayak
Air Europa,7:00 am , 8:20 pm,14h 20m,$419,2 stops,"0h 55m, 6h 55m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Kayak
Air Europa,7:00 am , 8:20 pm,14h 20m,$419,2 stops,"2h 25m, 5h 20m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Kayak
Air Europa,7:00 am , 3:55 pm,9h 55m,$558,2 stops,"0h 55m, 2h 30m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Kayak
Ryanair,11:20 pm ," 7:10 pm
+1",21h 50m,$115,2 stops,"12h 35m, 3h 35m","WMI, VIE","Warsaw Modlin, Vienna Intl",Kayak
KLM,7:00 am , 4:15 pm,10h 15m,$523,2 stops,"1h 45m, 2h 55m","AMS, BCN","Amsterdam Schiphol, Barcelona-El Prat",Kayak
"Ryanair, SWISS",11:20 pm ," 1:40 pm
+1",16h 20m,$293,2 stops,"8h 35m, 2h 05m","WMI-WAW, ZRH","Airport change WMI-WAW, Zurich",Kayak
KLM,7:00 am , 6:25 pm,12h 25m,$460,2 stops,"0h 55m, 5h 00m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Kayak
"Finnair, Austrian Airlines",5:55 pm ," 8:50 am
+1",16h 55m,$294,2 stops,"1h 25m, 9h 45m","CPH, VIE","Kastrup Copenhagen, Vienna Intl",Kayak
"Finnair, Austrian Airlines",4:50 pm ," 8:50 am
+1",18h 00m,$262,2 stops,"3h 05m, 9h 15m","ARN, VIE","Stockholm Arlanda, Vienna Intl",Kayak
Lufthansa,6:40 am , 1:00 pm,7h 20m,$630,2 stops,"1h 00m, 0h 40m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Kayak
"Finnair, SWISS",8:15 pm ," 12:00 pm
+1",17h 45m,$305,2 stops,"11h 10m, 0h 55m","ARN, ZRH","Stockholm Arlanda, Zurich",Kayak
"Lufthansa, Discover Airlines",6:10 pm ," 9:15 am
+1",17h 05m,$359,1 stop,12h 20m,FRA,Frankfurt am Main,Kayak
Lufthansa,7:00 am , 6:20 pm,12h 20m,$511,2 stops,"2h 05m, 5h 00m","CPH, FRA","Kastrup Copenhagen, Frankfurt am Main",Kayak
Brussels Airlines,6:40 am , 4:30 pm,10h 50m,$529,2 stops,"3h 15m, 1h 50m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Kayak
Lufthansa,6:40 am , 8:15 pm,14h 35m,$412,2 stops,"5h 00m, 3h 55m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Kayak
Ryanair,9:05 pm ," 7:10 pm
+1",24h 05m,$86,1 stop,19h 15m,VIE,Vienna Intl,Kayak
Lufthansa,6:10 pm ," 9:15 am
+1",17h 05m,$359,1 stop,12h 20m,FRA,Frankfurt am Main,Kayak
Iberia,4:40 pm ," 8:35 am
+1",17h 55m,$362,1 stop,12h 05m,MAD,Madrid Barajas,Kayak
Ryanair,10:50 pm ," 9:15 pm
+1",24h 25m,$88,1 stop,19h 00m,STN,London Stansted,Kayak
Brussels Airlines,6:40 am , 5:10 pm,11h 30m,$529,2 stops,"0h 45m, 4h 50m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Kayak
Brussels Airlines,6:40 am , 5:10 pm,11h 30m,$529,2 stops,"1h 25m, 4h 25m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Kayak
